Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded
2019-07-18,153.06,153.28,151.42,151.46,754543.0,-3.0,0,140215.0,1
2019-07-19,151.66,153.2,151.04,151.46,810813.0,-1.5999999999999943,0,56270.0,1
2019-07-22,150.86,152.94,150.82,151.4,577673.0,-0.2599999999999909,0,-233140.0,0
2019-07-23,151.6,158.12,151.6,157.14,1920576.0,6.279999999999973,1,1342903.0,1
2019-07-24,157.02,160.28,156.06,158.62,1497678.0,7.02000000000001,1,-422898.0,0
2019-07-25,160.88,162.04,152.96,154.06,2168067.0,-2.960000000000008,0,670389.0,1
2019-07-26,155.12,156.36,153.9,155.26,1093111.0,-5.6200000000000045,0,-1074956.0,0
2019-07-29,154.92,155.3,152.2,153.2,974909.0,-1.920000000000016,0,-118202.0,0
2019-07-30,152.72,153.46,150.04,151.74,1194339.0,-3.1799999999999784,0,219430.0,1
2019-07-31,151.62,153.28,150.94,150.94,833751.0,-1.7800000000000011,0,-360588.0,0
2019-08-01,150.8,151.8,149.48,150.64,801676.0,-0.9800000000000182,0,-32075.0,0
2019-08-02,147.36,148.0,143.64,146.24,2145312.0,-4.560000000000002,0,1343636.0,1
2019-08-05,144.02,145.34,141.14,142.98,1541674.0,-4.380000000000024,0,-603638.0,0
2019-08-06,143.2,145.02,142.38,142.94,896741.0,-1.0800000000000125,0,-644933.0,0
2019-08-07,144.08,145.16,141.52,142.78,834697.0,-0.4199999999999875,0,-62044.0,0
2019-08-08,145.0,145.0,142.94,144.28,733755.0,0.19999999999998863,1,-100942.0,0
2019-08-09,143.54,143.72,140.48,141.34,1193042.0,-3.6599999999999966,0,459287.0,1
2019-08-12,141.9,142.5,140.04,140.96,676890.0,-2.579999999999984,0,-516152.0,0
2019-08-13,140.0,145.16,139.36,142.9,1427927.0,1.0,1,751037.0,1
2019-08-14,143.1,143.1,138.68,139.88,1204520.0,-0.12000000000000455,0,-223407.0,0
2019-08-15,140.88,141.12,136.94,138.16,1078890.0,-4.939999999999998,0,-125630.0,0
2019-08-16,138.96,140.0,137.96,139.86,776293.0,-1.0199999999999818,0,-302597.0,0
2019-08-19,141.34,143.16,140.98,142.32,773315.0,3.359999999999985,1,-2978.0,0
2019-08-20,141.82,143.06,140.7,141.14,526879.0,-0.20000000000001705,0,-246436.0,0
2019-08-21,141.34,144.16,141.3,142.64,666201.0,0.8199999999999932,1,139322.0,1
2019-08-22,142.5,144.84,141.9,143.06,781883.0,1.7199999999999989,1,115682.0,1
2019-08-23,143.32,144.12,140.86,141.16,1001692.0,-1.3400000000000034,0,219809.0,1
2019-08-26,140.92,142.66,140.12,142.18,646712.0,-1.1399999999999864,0,-354980.0,0
2019-08-27,142.32,145.0,141.56,143.5,873148.0,2.5800000000000125,1,226436.0,1
2019-08-28,143.5,143.96,142.12,143.54,396548.0,1.2199999999999989,1,-476600.0,0
2019-08-29,143.46,146.2,142.78,145.28,821156.0,1.7800000000000011,1,424608.0,1
2019-08-30,145.54,148.3,145.5,146.1,940001.0,2.6399999999999864,1,118845.0,1
2019-09-02,145.66,146.94,145.22,146.66,432643.0,1.1200000000000045,1,-507358.0,0
2019-09-03,146.76,147.08,145.5,146.28,660855.0,0.6200000000000045,1,228212.0,1
2019-09-04,148.38,149.26,147.48,147.96,829713.0,1.200000000000017,1,168858.0,1
2019-09-05,149.5,152.1,149.16,150.84,1084316.0,2.460000000000008,1,254603.0,1
2019-09-06,150.8,152.42,148.78,150.4,1133953.0,0.9000000000000057,1,49637.0,1
2019-09-09,151.38,154.54,150.64,154.08,1096532.0,3.280000000000001,1,-37421.0,0
2019-09-10,154.0,156.3,153.92,154.62,1048664.0,3.240000000000009,1,-47868.0,0
2019-09-11,156.0,157.9,154.7,155.7,1204864.0,1.6999999999999886,1,156200.0,1
2019-09-12,154.64,158.08,154.18,156.76,1543292.0,0.7599999999999909,1,338428.0,1
2019-09-13,156.96,159.0,156.6,158.06,1002428.0,3.420000000000016,1,-540864.0,0
2019-09-16,156.5,158.18,156.02,157.56,557423.0,0.5999999999999943,1,-445005.0,0
2019-09-17,156.9,157.2,154.32,155.84,778956.0,-0.6599999999999966,0,221533.0,1
2019-09-18,155.2,156.46,154.9,155.94,680122.0,-0.960000000000008,0,-98834.0,0
2019-09-19,156.12,158.92,155.4,158.92,1159280.0,3.719999999999999,1,479158.0,1
2019-09-20,159.0,161.08,158.36,159.8,2572940.0,3.680000000000007,1,1413660.0,1
2019-09-23,158.9,159.22,155.74,156.58,1095294.0,-2.4199999999999875,0,-1477646.0,0
2019-09-24,156.8,157.36,151.92,153.2,1452210.0,-5.700000000000017,0,356916.0,1
2019-09-25,151.52,153.88,151.06,153.88,919492.0,-2.920000000000016,0,-532718.0,0
2019-09-26,153.92,155.42,153.24,153.64,506609.0,2.119999999999976,1,-412883.0,0
2019-09-27,154.36,155.54,154.24,154.9,472449.0,0.9800000000000182,1,-34160.0,0
2019-09-30,154.36,156.36,153.56,156.06,780092.0,1.6999999999999886,1,307643.0,1
2019-10-01,156.4,157.66,153.18,153.8,827133.0,-0.5600000000000023,0,47041.0,1
2019-10-02,153.5,153.74,148.92,149.14,1176460.0,-7.260000000000019,0,349327.0,1
2019-10-04,148.94,149.3,146.54,147.82,1124048.0,-5.680000000000007,0,-52412.0,0
2019-10-07,147.84,148.66,146.2,148.54,470517.0,-0.4000000000000057,0,-653531.0,0
2019-10-08,149.76,150.12,146.64,149.1,842596.0,1.259999999999991,1,372079.0,1
2019-10-09,148.52,151.26,148.2,150.0,591144.0,0.2400000000000091,1,-251452.0,0
2019-10-10,152.0,154.8,150.84,153.94,1092565.0,5.4199999999999875,1,501421.0,1
2019-10-11,154.66,162.12,154.14,161.5,1820836.0,9.5,1,728271.0,1
2019-10-14,160.0,162.2,159.16,161.84,1106573.0,7.180000000000007,1,-714263.0,0
2019-10-15,162.9,165.5,161.96,164.64,1265708.0,4.639999999999986,1,159135.0,1
2019-10-16,164.12,169.98,164.0,169.78,2025267.0,6.8799999999999955,1,759559.0,1
2019-10-17,169.38,173.3,168.92,170.18,1660704.0,6.060000000000002,1,-364563.0,0
