Date,OPEN,HIGH,LOW,CLOSE,VOLUME,return,return_one_hot_encoded,volume_difference,volume_one_hot_encoded,url,header_x,release time_x,article content_x,formatted date_x,flair_sentiment_header_label,flair_sentiment_header_score,flair_sentiment_content_label,flair_sentiment_content_score,header_y,release time_y,article content_y,formatted date_y,neg_vader_header,neu_vader_header,pos_vader_header,compound_vader_header,neg_vader_articel_content,neu_vader_articel_content,pos_vader_articel_content,compound_vader_articel_content,header,release time,article content,formatteddate,polarity_textblob_sentiment_header,subjectivity_textblob_sentiment_header,polarity_textblob_sentiment_content,subjectivity_textblob_sentiment_content
2019-09-03 14:42:00,146.44,146.44,146.42,146.42,407.0,0.0,0,-817.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:43:00,146.4,146.4,146.34,146.34,1161.0,-0.09999999999999433,0,754.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:44:00,146.36,146.36,146.36,146.36,68.0,-0.039999999999992035,0,-1093.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:45:00,146.4,146.42,146.4,146.42,233.0,0.05999999999997385,1,165.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:46:00,146.44,146.44,146.44,146.44,174.0,0.039999999999992035,1,-59.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:47:00,146.48,146.52,146.48,146.5,1588.0,0.060000000000002274,1,1414.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:48:00,146.44,146.44,146.38,146.38,1039.0,-0.09999999999999433,0,-549.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:49:00,146.38,146.44,146.38,146.44,267.0,0.0,0,-772.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:50:00,146.44,146.44,146.42,146.42,709.0,0.039999999999992035,1,442.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:51:00,146.42,146.46,146.4,146.44,804.0,0.0,0,95.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:52:00,146.42,146.44,146.42,146.42,369.0,0.0,0,-435.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-03 14:53:00,146.44,146.46,146.42,146.42,1584.0,0.0,0,1215.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
